id,mssv, lopsh, hocky, namhoc, drl, ghichu
82,A2A984F7XPvAibaEXe9X5bpEKoa0mp7uV1IrtAed, ANTT2013,2,2013,72, NULL
83,CB86CEE4XPvAibaEXe83EtiN4MI2njAKlLHQPQif, ANTT2013,2,2013,100, NULL
84,AE78A5C2XPvAibaEXe+yU1j0ocViqV7UP2kSRFnX, ANTT2013,2,2013,60, NULL
85,EAD40691XPvAibaEXe+wmtNhlfgIwtb87cTjmzYb, ANTT2013,2,2013,59, NULL
86,2C674C46XPvAibaEXe8Y+/3uR2PkTOGNxs8OFvnz, ANTT2013,2,2013,54, NULL
87,A7916D60XPvAibaEXe+nZBq3b0XEhXdvKy778k5c, ANTT2013,2,2013,60, NULL
88,6EBFAC96XPvAibaEXe/XBbLEWRhgQXinO9yZvS2d, ANTT2013,2,2013,80, NULL
89,3B334337XPvAibaEXe+9GFX9aWroRPhzn84Kn1g3, ANTT2013,2,2013,73, NULL
90,9A84BBE7XPvAibaEXe8ydgsBCmjqA6hvcbpa5SDa, ANTT2013,2,2013,54, NULL
91,DAFCE097XPvAibaEXe+Z7KfNHYLttKsB/kdM5tuZ, ANTT2013,2,2013,91, NULL
92,EBB79892XPvAibaEXe99GOtI/HwJhdMd8xeZ4JnD, ANTT2013,2,2013,99, NULL
93,931C7551XPvAibaEXe9ysTifnGoMwRbIrVzkrPrw, ANTT2013,2,2013,100, NULL
94,A05F7B75XPvAibaEXe97hU2RTHdNnATS1tMYdhSj, ANTT2013,2,2013,55, NULL
95,4AFE5A8EXPvAibaEXe9MLbI3cCq2BMqcbjt1Z6h0, ANTT2013,2,2013,89, NULL
96,4185501CXPvAibaEXe9HKUC7sboLjiazpw2A5AfK, ANTT2013,2,2013,89, NULL
97,A3AA35CEXPvAibaEXe9HKUC7sboLjoVYTHh2EAU+, ANTT2013,2,2013,68, NULL
98,2F7887F7XPvAibaEXe/BqA0y8R3TRdLeDx8JXg9H, ANTT2013,2,2013,100, NULL
99,1A44AFDBXPvAibaEXe9Bx5CZuIA9z94nqDRZPjbc, ANTT2013,2,2013,100, NULL
100,0CF59B91XPvAibaEXe8k9aD0YXzUPjR72F7dYDZ1, ANTT2013,2,2013,80, NULL
101,96E64F9BXPvAibaEXe8k9aD0YXzUPrUwcIMFMr/N, ANTT2013,2,2013,73, NULL
102,088767B5XPvAibaEXe+Y5CB/5gt3MAZxW0JDh9YA, ANTT2013,2,2013,80, NULL
103,074D8586XPvAibaEXe8s1xx8DWM0qvMydWkQI9z8, ANTT2013,2,2013,88, NULL
104,869C382DXPvAibaEXe+6MN9FoW2mqQya+xnXT/o1, ANTT2013,2,2013,62, NULL
105,D164AD41XPvAibaEXe/+PcSgI7YkeRGJU4dHMEgp, ANTT2013,2,2013,58, NULL
106,17ABFF8BXPvAibaEXe9ysTifnGoMwYzIolUfgf2Y, ANTT2013,2,2013,93, NULL
107,FD4D8D5EXPvAibaEXe9MLbI3cCq2BCl9gcft6mvc, ANTT2013,2,2013,80, NULL
108,E9BBDEFAXPvAibaEXe/Dy4K4yiQpOCeGcJ6wYi83, ANTT2013,2,2013,88, NULL
109,E4659083XPvAibaEXe/WSo41+3xFkETHXsnLtXqd, ANTT2013,2,2013,85, NULL
110,41B3F412XPvAibaEXe9VICkMSMM7nxTj8JG4gzhV, ANTT2013,2,2013,96, NULL
111,246BFB8AXPvAibaEXe93PEySAJOVk7f1TlF/mfrO, CNTT2013,2,2013,64, NULL
112,FF601AFCXPvAibaEXe93PEySAJOVk+OR7t0UZryF, CNTT2013,2,2013,100, NULL
113,C1A9FD65XPvAibaEXe8ge2UHv4J4BztlfCscqMWw, CNTT2013,2,2013,66, NULL
114,B35C4D81XPvAibaEXe+4hxKfaQWuhMpsX+yPsJqX, CNTT2013,2,2013,65, NULL
115,0A2744ACXPvAibaEXe+4hxKfaQWuhJdFGWeKvxxz, CNTT2013,2,2013,69, NULL
116,F8E79C58XPvAibaEXe9P07hcrvmhCRobNyHYqD/N, CNTT2013,2,2013,61, NULL
117,9D24935AXPvAibaEXe9P07hcrvmhCaK9iQTZe/LS, CNTT2013,2,2013,72, NULL
